Indonesia , 1, 97, 2, 1
Australia , 2, 24, 3, 6
New Zealand , 3, 21, 5, 5
United States of America , 4, 10, 12, 8
Ireland , 5, 25, 9, 7
United Kingdom , 6, 29, 4, 23
Singapore , 7, 18, 14, 9
Kenya , 8, 9, 27, 3
Myanmar , 9, 112, 1, 22
Bahrain , 10, 6, 25, 24
Netherlands , 11, 71, 6, 13
United Arab Emirates , 12, 16, 11, 57
Norway , 13, 55, 7, 29
Haiti , 14, 30, 20, 32
Canada , 15, 45, 17, 26
Nigeria , 16, 12, 42, 14
Iceland , 17, 80, 8, 41
Malta , 18, 59, 10, 51
Liberia , 19, 4, 111, 2
Sierra Leone , 20, 5, 81, 12
Zambia , 21, 14, 46, 20
Germany , 22, 42, 19, 46
Trinidad and Tobago , 23, 13, 41, 30
Denmark , 24, 41, 16, 55
Mauritius , 25, 46, 29, 10
Switzerland , 26, 116, 13, 11
Sri Lanka , 27, 64, 36, 4
Libya , 28, 1, 63, 52
Iran , 29, 32, 24, 70
Hong Kong , 30, 35, 18, 76
Gambia (The) , 31, 7, 62, 34
Austria , 32, 62, 21, 50
Kuwait , 33, 3, 37, 120
Iraq , 34, 2, 59, 73
Cyprus , 35, 34, 30, 45
Tajikistan , 36, 37, 51, 15
Ghana , 37, 31, 57, 17
Israel , 38, 78, 23, 54
Belgium , 39, 74, 28, 44
South Africa , 40, 11, 100, 21
Luxembourg , 41, 114, 26, 25
Sweden , 42, 70, 15, 111
Turkmenistan , 43, 88, 40, 18
Finland , 44, 60, 35, 49
Mongolia , 45, 111, 31, 16
Honduras , 46, 54, 53, 27
Slovenia , 47, 91, 43, 19
South Sudan , 48, 36, 60, 35
Dominican Republic , 49, 27, 90, 28
Uganda , 50, 19, 80, 47
Saudi Arabia , 51, 8, 68, 116
Nepal , 52, 79, 48, 42
Uzbekistan , 53, 73, 39, 68
Spain , 54, 47, 45, 85
Kyrgyzstan , 55, 68, 38, 81
Jamaica , 56, 28, 106, 37
Malawi , 57, 22, 108, 48
Dem. Rep. of the Congo , 58, 48, 95, 36
Paraguay , 59, 61, 61, 60
Republic of Korea , 60, 92, 33, 96
Chile , 61, 52, 50, 102
Thailand , 61, 127, 22, 113
Costa Rica , 62, 39, 71, 86
Cameroon , 63, 17, 98, 90
Taiwan Province of China , 64, 84, 47, 75
Guatemala , 65, 72, 85, 38
Kosovo , 66, 81, 32, 123
Nicaragua , 67, 65, 69, 59
Italy , 68, 95, 44, 82
Central African Republic , 69, 67, 97, 43
Guinea , 70, 66, 84, 53
Niger , 71, 20, 130, 67
France , 72, 122, 67, 31
Namibia , 73, 26, 131, 63
Bangladesh , 74, 44, 79, 110
Jordan , 75, 15, 116, 125
Zimbabwe , 76, 33, 128, 78
Uruguay , 77, 83, 73, 97
Panama , 78, 87, 92, 62
Mozambique , 79, 77, 124, 40
Colombia , 80, 50, 105, 88
Ukraine , 81, 107, 58, 103
Burkina Faso , 82, 49, 126, 71
Portugal , 83, 76, 93, 94
Tanzania (United Rep. of) , 84, 93, 56, 131
Lebanon , 85, 85, 75, 117
Bolivia , 86, 86, 106, 64
Senegal , 87, 57, 103, 104
Slovakia , 88, 134, 54, 61
Philippines , 89, 102, 117, 39
Bosnia and Herzegovina , 90, 123, 34, 137
Pakistan , 91, 104, 65, 112
Algeria , 92, 58, 119, 84
Mali , 93, 63, 123, 66
Argentina , 94, 69, 102, 98
Lesotho , 95, 40, 142, 69
Kazakhstan , 96, 130, 52, 89
Botswana , 97, 38, 135, 91
Ethiopia , 98, 106, 101, 58
Moldova (Republic of) , 99, 99, 77, 109
Madagascar , 100, 119, 121, 33
Peru , 100, 94, 109, 65
Chad , 101, 82, 104, 93
Romania , 102, 56, 91, 139
Rwanda , 103, 117, 83, 80
Morocco , 104, 23, 143, 124
Benin , 105, 89, 114, 87
Egypt , 106, 43, 110, 141
Venezuela , 107, 72, 125, 100
Albania , 108, 108, 64, 134
Estonia , 109, 133, 66, 92
Russian Federation , 110, 101, 86, 118
Côte d'Ivoire , 111, 51, 120, 135
Poland , 112, 131, 78, 99
Gabon , 113, 53, 132, 122
Mexico , 114, 98, 115, 105
Congo (Brazzaville) , 115, 75, 136, 108
Montenegro , 116, 120, 74, 127
Togo , 117, 96, 127, 106
Georgia , 118, 90, 140, 83
Ecuador , 119, 115, 118, 79
Hungary , 120, 125, 82, 115
Belarus , 121, 137, 88, 74
Brazil , 122, 105, 112, 109
Armenia , 123, 100, 107, 130
India , 124, 136, 89, 101
Czech Republic , 125, 140, 87, 72
Bulgaria , 126, 109, 96, 144
El Salvador , 127, 118, 129, 95
Japan , 128, 142, 99, 56
Serbia , 129, 132, 76, 140
Macedonia (FYRO) , 130, 138, 70, 143
Turkey , 131, 113, 122, 126
Croatia , 132, 141, 72, 121
Mauritania , 133, 121, 134, 107
Lao People's Democratic 
Republic , 134, 143, 49, 145
Tunisia , 135, 103, 139, 132
Afghanistan , 136, 110, 141, 119
Latvia , 137, 139, 88, 128
Lithuania , 138, 94, 77
Azerbaijan , 139, 129, 133, 114
Cambodia , 140, 144, 55, 142
Palestine (State of) , 141, 124, 138, 129
China , 142, 135, 113, 133
Greece , 143, 128, 137, 136
Yemen , 144, 126, 144, 138
