Myanmar , 1, 27, 1, 2
United States of America , 2, 9, 13, 5
Australia , 3, 14, 3, 11
New Zealand , 4, 31, 5, 6
Sri Lanka , 5, 36, 17, 4
Canada , 6, 20, 11, 14
Indonesia , 7, 104, 2, 3
United Kingdom , 8, 33, 7, 22
Ireland , 9, 47, 10, 10
United Arab Emirates , 10, 5, 14, 61
Uzbekistan , 11, 16, 16, 40
Kenya , 12, 13, 35, 8
Netherlands , 13, 49, 9, 21
Norway , 14, 72, 8, 26
Turkmenistan , 15, 81, 41, 1
Malta , 16, 86, 4, 36
Iceland , 17, 73, 6, 45
Bhutan , 18, 74, 22, 13
Kuwait , 19, 3, 30, 83
Denmark , 20, 57, 15, 53
Germany , 21, 56, 20, 39
Malaysia , 22, 84, 21, 20
Switzerland , 23, 62, 23, 28
Finland , 24, 50, 25, 27
Sweden , 25, 43, 18, 98
Uganda , 26, 11, 56, 29
Mongolia , 27, 92, 32, 12
Singapore , 28, 79, 19, 54
Guatemala , 29, 29, 52, 16
Austria , 30, 70, 26, 42
Iraq , 31, 1, 57, 89
Belgium , 32, 59, 33, 37
Panama , 33, 37, 45, 23
Kyrgyzstan , 34, 54, 36, 33
Cyprus , 35, 67, 28, 46
Dominican Republic , 36, 22, 74, 15
Thailand , 37, 98, 12, 84
Malawi , 38, 6, 103, 24
Nepal , 39, 94, 37, 17
Slovenia , 40, 75, 44, 19
Saudi Arabia , 41, 10, 46, 96
Northern Cyprus , 42, 42, 40, 51
Israel , 43, 80, 27, 49
State of Libya , 44, 2, 77, 77
Iran , 45, 66, 29, 65
Sierra Leone , 46, 8, 97, 37
Philippines , 47, 52, 88, 7
South Sudan , 48, 41, 63, 30
Luxembourg , 49, 126, 24, 25
Taiwan , 50, 45, 38, 82
Cameroon , 51, 18, 70, 48
Liberia , 52, 12, 130, 18
Haiti , 53, 105, 31, 44
Botswana , 54, 7, 93, 63
Chile , 55, 39, 43, 93
Nigeria , 56, 15, 91, 47
United Republic of Tanzania , 57, 23, 49, 94
Somalia , 58, 4, 115, 66
Uruguay , 58, 35, 58, 62
Kosovo , 60, 63, 34, 111
South Africa , 61, 19, 107, 35
Costa Rica , 62, 32, 65, 56
Zambia , 63, 17, 111, 50
Vietnam , 64, 55, 48, 75
Peru , 65, 38, 90, 41
Syria , 66, 30, 69, 69
Mozambique , 67, 65, 84, 31
Brazil , 68, 60, 59, 79
Guinea , 69, 26, 106, 68
Bolivia , 70, 53, 78, 64
Jordan , 71, 21, 79, 119
Burkina Faso , 72, 28, 110, 71
Colombia , 73, 43, 89, 72
Honduras , 74, 102, 117, 9
Republic of Korea , 75, 93, 46, 80
Nicaragua , 76, 107, 51, 51
Ghana , 77, 69, 99, 43
Afghanistan , 78, 51, 71, 100
Spain , 79, 85, 55, 85
Lebanon , 80, 108, 42, 123
France , 81, 116, 75, 32
Italy , 82, 101, 50, 95
Argentina , 83, 68, 108, 67
Ethiopia , 84, 97, 64, 78
Congo , 85, 25, 124, 97
El Salvador , 85, 77, 122, 34
Tajikistan , 87, 82, 87, 73
Mauritania , 88, 118, 60, 58
Gabon , 89, 24, 120, 112
Portugal , 90, 78, 95, 90
India , 91, 103, 86, 60
Pakistan , 92, 99, 53, 120
Romania , 93, 46, 92, 133
Bangladesh , 94, 47, 116, 102
Senegal , 95, 34, 132, 108
Kazakhstan , 96, 115, 54, 105
Ecuador , 97, 88, 102, 91
Cambodia , 98, 139, 39, 99
Mali , 99, 40, 126, 122
Belarus , 100, 127, 80, 59
Paraguay , 101, 133, 61, 70
Benin , 102, 96, 112, 81
Togo , 103, 64, 134, 74
Cote d'Ivoire , 104, 58, 109, 131
Albania , 105, 95, 85, 114
Ukraine , 106, 119, 68, 92
Mexico , 107, 90, 105, 109
Zimbabwe , 108, 71, 136, 86
Poland , 109, 109, 67, 128
Republic of Moldova , 110, 117, 98, 88
Chad , 111, 83, 118, 116
Egypt , 112, 86, 96, 140
Latvia , 113, 131, 62, 121
Japan , 114, 138, 83, 55
Niger , 115, 91, 127, 101
Rwanda , 116, 120, 100, 104
Venezuela , 117, 113, 114, 106
Estonia , 118, 122, 94, 107
The Former Yugoslav Republic 
of Macedonia 
, 119, 125, 66, 132
Georgia , 120, 111, 128, 76
Czech Republic , 121, 134, 82, 103
Tunisia , 122, 76, 137, 118
Morocco , 123, 61, 140, 125
Lithuania , 124, 100, 124, 115
Slovakia , 124, 132, 81, 117
Russian Federation , 126, 121, 104, 113
Croatia , 127, 135, 73, 124
Bosnia and Herzegovina , 128, 123, 76, 139
Bulgaria , 129, 106, 119, 134
Armenia , 130, 89, 129, 136
Azerbaijan , 131, 130, 121, 87
Madagascar , 132, 137, 123, 57
Montenegro , 133, 124, 101, 130
Hungary , 134, 128, 113, 127
Serbia , 135, 136, 72, 137
Democratic Republic of Congo , 136, 114, 135, 110
Greece , 137, 112, 131, 129
Yemen , 138, 110, 139, 135
Palestinian Territories , 139, 129, 133, 126
China , 140, 140, 138, 138
