Myanmar , 1, 57, 1, 3
Indonesia , 2, 76, 2, 1
Kenya , 3, 4, 20, 2
New Zealand , 4, 21, 6, 6
United States of America , 5, 7, 13, 7
Australia , 6, 19, 9, 10
Canada , 7, 16, 10, 16
Ireland , 8, 26, 11, 11
United Arab Emirates , 9, 11, 17, 35
Netherlands , 10, 65, 7, 15
United Kingdom , 11, 38, 8, 30
Sierra Leone , 12, 1, 71, 8
Malta , 13, 86, 3, 36
Liberia , 14, 5, 99, 4
Iceland , 15, 91, 4, 38
Thailand , 16, 64, 5, 70
Iran (Islamic Republic of) , 17, 27, 23, 40
Zambia , 18, 13, 45, 19
Germany , 19, 39, 14, 56
Norway , 20, 75, 15, 26
Denmark , 21, 40, 18, 58
Uganda , 22, 8, 53, 28
Ghana , 23, 29, 48, 13
South Africa , 24, 9, 80, 18
Hong Kong , 25, 31, 21, 79
Austria , 26, 63, 24, 33
Mauritius , 27, 111, 26, 9
Nigeria , 28, 14, 66, 29
Mongolia , 29, 71, 34, 12
Singapore , 30, 103, 12, 41
Kuwait , 31, 6, 44, 82
Dominican Republic , 32, 20, 78, 17
Switzerland , 33, 109, 22, 20
Sweden , 34, 56, 16, 96
Israel , 35, 93, 19, 43
Malawi , 36, 12, 97, 22
Finland , 37, 47, 35, 32
Uzbekistan , 38, 46, 27, 75
Iraq , 39, 2, 75, 86
Honduras , 40, 51, 50, 21
Guatemala , 41, 37, 65, 25
Libya , 42, 3, 94, 64
Costa Rica , 43, 24, 57, 54
Luxembourg , 44, 116, 25, 31
Cyprus , 45, 48, 41, 45
Northern Cyprus , 46, 55, 38, 50
Somalia , 47, 15, 93, 47
Saudi Arabia , 48, 10, 72, 100
Chile , 49, 68, 29, 99
Tajikistan , 50, 84, 89, 5
Nepal , 51, 92, 37, 27
Taiwan Province of China , 52, 53, 39, 69
Ecuador , 53, 42, 67, 49
Philippines , 54, 66, 95, 14
Haiti , 55, 122, 28, 37
Belgium , 56, 81, 42, 39
Panama , 57, 36, 70, 60
Slovenia , 58, 105, 49, 23
Bosnia and Herzegovina , 59, 58, 30, 132
Uruguay , 60, 33, 69, 76
Colombia , 61, 25, 86, 72
Republic of Korea , 62, 94, 31, 78
United Republic of Tanzania , 63, 60, 36, 110
The former Yugoslav Republic 
of Macedonia 
, 64, 74, 33, 105
Kosovo , 65, 50, 32, 136
Lesotho , 66, 17, 131, 48
France , 67, 112, 56, 24
Cameroon , 68, 34, 88, 67
Turkmenistan , 69, 98, 51, 42
Bolivia (Plurinational State of) , 70, 52, 82, 55
Spain , 71, 67, 43, 101
Zimbabwe , 72, 18, 127, 62
South Sudan , 73, 43, 102, 51
Jordan , 74, 44, 74, 92
Brazil , 75, 54, 85, 63
Lebanon , 76, 80, 40, 103
Congo (Brazzaville) , 77, 22, 114, 93
Pakistan , 78, 73, 47, 109
Senegal , 79, 32, 120, 52
Romania , 80, 30, 79, 125
India , 81, 118, 64, 34
Nicaragua , 82, 114, 61, 44
Argentina , 83, 45, 109, 68
Italy , 84, 88, 54, 94
Kyrgyzstan , 85, 79, 59, 95
Burkina Faso , 86, 62, 105, 59
Kazakhstan , 87, 104, 52, 71
Peru , 88, 61, 108, 66
Afghanistan , 89, 78, 83, 61
Ukraine , 90, 99, 58, 83
Côte d'Ivoire , 91, 41, 98, 126
Tunisia , 92, 28, 118, 112
Botswana , 93, 23, 135, 108
El Salvador , 94, 72, 132, 46
Albania , 95, 96, 62, 118
Gabon , 96, 35, 123, 111
Republic of Moldova , 97, 106, 77, 77
Guinea , 98, 59, 119, 84
Chad , 99, 95, 87, 89
Estonia , 100, 121, 84, 57
Rwanda , 101, 89, 96, 91
Slovakia , 102, 125, 55, 88
Central African Republic , 103, 100, 111, 53
Portugal , 104, 77, 112, 80
Poland , 105, 115, 68, 104
Mexico , 106, 82, 101, 102
Ethiopia , 107, 107, 90, 85
Egypt , 108, 49, 110, 131
Togo , 109, 85, 113, 90
Montenegro , 110, 108, 76, 119
Japan , 111, 135, 46, 73
Mali , 112, 69, 124, 113
Benin , 113, 101, 115, 81
Greece , 114, 70, 130, 114
Venezuela (Bolivarian 
Republic of) 
, 115, 83, 121, 115
Vietnam , 116, 117, 106, 97
Belarus , 117, 134, 91, 65
Niger , 118, 87, 122, 117
Hungary , 119, 119, 103, 123
Paraguay , 120, 130, 81, 120
Croatia , 121, 138, 63, 107
Armenia , 122, 90, 117, 139
State of Palestine , 123, 102, 126, 127
Russian Federation , 124, 127, 104, 106
Democratic Republic of the 
Congo (Kinshasa) 
, 125, 120, 129, 116
Azerbaijan , 126, 128, 125, 87
Bulgaria , 127, 124, 107, 138
Czech Republic , 128, 136, 100, 98
Bangladesh , 129, 123, 116, 128
Mauritania , 130, 110, 136, 122
Latvia , 131, 131, 92, 137
Serbia , 132, 137, 73, 129
Madagascar , 133, 133, 133, 74
Cambodia , 134, 139, 60, 133
Georgia , 135, 113, 137, 124
Morocco , 136, 97, 139, 130
Lithuania , 137, 132, 128, 121
China , 138, 129, 134, 134
Yemen , 139, 126, 138, 135
